51	1821.97	1502	1.24	1.21	6287.23	20.72%	TrailStart=10 	TrailStop=5 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
125	768.26	1201	1.11	0.64	6115.37	21.00%	TrailStart=10 	TrailStop=11 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
162	3278.36	860	1.49	3.81	6812.37	21.07%	TrailStart=18 	TrailStop=11 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
131	2113.89	565	1.32	3.74	6318.39	21.45%	TrailStart=16 	TrailStop=39 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
58	3718.50	866	1.53	4.29	6319.19	21.83%	TrailStart=16 	TrailStop=43 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
110	7150.02	890	2.87	8.03	5940.10	21.93%	TrailStart=16 	TrailStop=45 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
94	790.00	979	1.09	0.81	7012.91	23.36%	TrailStart=10 	TrailStop=49 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
140	737.65	967	1.09	0.76	7041.71	23.47%	TrailStart=10 	TrailStop=51 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
16	5995.76	1158	1.66	5.18	6587.75	23.55%	TrailStart=12 	TrailStop=39 	MaxOpenOrders=10	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
113	12799.52	1073	2.81	11.93	7974.52	24.40%	TrailStart=16 	TrailStop=37 	MaxOpenOrders=10	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
127	22189.16	1400	2.75	15.85	12087.16	25.38%	TrailStart=16 	TrailStop=11 	MaxOpenOrders=20	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
150	16562.66	1244	2.53	13.31	9391.34	26.14%	TrailStart=16 	TrailStop=35 	MaxOpenOrders=19	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
3	6181.24	689	1.71	8.97	10072.27	27.35%	TrailStart=52 	TrailStop=5 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
18	6181.24	689	1.71	8.97	10072.27	27.35%	TrailStart=56 	TrailStop=47 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
38	6181.24	689	1.71	8.97	10072.27	27.35%	TrailStart=42 	TrailStop=37 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
40	6181.24	689	1.71	8.97	10072.27	27.35%	TrailStart=30 	TrailStop=9 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
42	6181.24	689	1.71	8.97	10072.27	27.35%	TrailStart=32 	TrailStop=43 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
49	6181.24	689	1.71	8.97	10072.27	27.35%	TrailStart=24 	TrailStop=17 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
50	6181.24	689	1.71	8.97	10072.27	27.35%	TrailStart=54 	TrailStop=43 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
75	6181.24	689	1.71	8.97	10072.27	27.35%	TrailStart=36 	TrailStop=23 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
41	5898.80	881	1.83	6.70	9164.23	27.56%	TrailStart=16 	TrailStop=25 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
104	5685.85	1076	1.75	5.28	7928.24	28.20%	TrailStart=16 	TrailStop=11 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
97	13456.55	1242	2.15	10.83	9745.86	28.86%	TrailStart=14 	TrailStop=37 	MaxOpenOrders=18	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
55	5280.89	908	1.53	5.82	10515.36	28.92%	TrailStart=18 	TrailStop=13 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
