111	1202.52	295	2.69	4.08	1232.83	11.73%	Lots=0.02 	MultiLotsFactor=1 	StepLots=25 	TakeProfit=22 	TrailStart=42 	TrailStop=57 	MaxOpenOrders=11	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
63	1197.62	665	1.66	1.80	2602.47	21.00%	Lots=0.02 	MultiLotsFactor=1 	StepLots=7 	TakeProfit=19 	TrailStart=52 	TrailStop=15 	MaxOpenOrders=18	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
214	1185.41	241	1.98	4.92	2311.47	22.47%	Lots=0.04 	MultiLotsFactor=1.3 	StepLots=31 	TakeProfit=13 	TrailStart=44 	TrailStop=5 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
142	1116.58	732	1.97	1.53	2717.68	26.51%	Lots=0.02 	MultiLotsFactor=1 	StepLots=7 	TakeProfit=19 	TrailStart=10 	TrailStop=5 	MaxOpenOrders=15	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
157	1094.10	385	4.58	2.84	965.90	8.94%	Lots=0.01 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=40 	TrailStart=36 	TrailStop=59 	MaxOpenOrders=14	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
180	1086.53	230	2.21	4.72	1734.10	16.60%	Lots=0.02 	MultiLotsFactor=1 	StepLots=31 	TakeProfit=31 	TrailStart=26 	TrailStop=13 	MaxOpenOrders=20	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
171	1072.33	157	2.18	6.83	1912.93	16.06%	Lots=0.02 	MultiLotsFactor=1.5 	StepLots=17 	TakeProfit=34 	TrailStart=36 	TrailStop=41 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
21	1072.33	157	2.18	6.83	1912.93	16.06%	Lots=0.02 	MultiLotsFactor=1.5 	StepLots=17 	TakeProfit=34 	TrailStart=48 	TrailStop=19 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
216	1072.05	496	3.51	2.16	1033.28	9.16%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=5 	TakeProfit=10 	TrailStart=52 	TrailStop=21 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
167	1041.61	225	2.23	4.63	1859.66	17.61%	Lots=0.01 	MultiLotsFactor=1.1 	StepLots=27 	TakeProfit=34 	TrailStart=44 	TrailStop=31 	MaxOpenOrders=18	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
122	1024.49	224	2.26	4.57	1751.13	16.58%	Lots=0.01 	MultiLotsFactor=1.1 	StepLots=27 	TakeProfit=34 	TrailStart=42 	TrailStop=37 	MaxOpenOrders=17	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
194	1010.82	213	1.61	4.75	2947.87	24.13%	Lots=0.02 	MultiLotsFactor=1.8 	StepLots=27 	TakeProfit=28 	TrailStart=48 	TrailStop=5 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
65	985.50	378	3.31	2.61	1055.56	9.99%	Lots=0.01 	MultiLotsFactor=1.3 	StepLots=7 	TakeProfit=31 	TrailStart=24 	TrailStop=33 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
108	976.53	203	1.48	4.81	3845.58	29.91%	Lots=0.05 	MultiLotsFactor=1.1 	StepLots=9 	TakeProfit=25 	TrailStart=56 	TrailStop=41 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
